Eastern Himalayas,region
1    I Quercus species,BE1 = 69.2347 D + 135.6707 D - 1.4147
Quercus species,BE2 = 0.8100 D2 + 8.7234 D + 0.1811
Quercus species,BE1 = 0.1810 D12 - 0.4654 D1 + 1.6797
Quercus species,BE4 = 0.0024 D12 + 0.0991 D1 + 0.0344
Rhododendron species,BE1 = -17.6343 D2 + 237.1436 D - 8.9400
I    Rhododendron species,BE1 = -4.7666 D2 + 12.3843 D - 0.5536
I    Rhododendron species,BE1 = 0.1635 D12- 0.3656 D1 + 1.4922
.    Rhododendron species,BE4 = -0.0022 D12 + 0.0874 D1 - 0.0154
    Macaranga species,BE1= -255.0664 D2 + 507.2459 D - 43.8670
I    Macaranga species,BE2 = -8.5948 D2 + 15.9095 D - 0.6507
I    Macaranga species,BE1 = 0.1277 D12- 0.3029 D1 + 0.8538
I    Macaranga species,BE4 = 0.0025 D12 + 0.0314 D1 + 0.1583
    Alnus nepalensis,BEI= -458.2088 D2 + 893.8913 D - 66.9783
Alnus nepalensis,BE2 = -10.0112 D2 + 18.4510 D - 1.0379
Alnus nepalensis,BE1 = 0.1785 D12- 0.5265 D1 + 1.9236
Alnus nepalensis,BE4 = 0.0085 D12- 0.0182 D1 + 0.1152
Rhododendron arboreum,BE1 = 112.6006 D2 + 135.5182 D - 2.3433
Rhododendron arboreum,BE1 = 11.2386 D2 + 3.0581 D + 0.1432
Rhododendron arboreum,BE1 = 0.1194 D12 + 0.0907 D1 + 0.9907
Rhododendron arboreum,BE4 = 0.0018 D12 + 0.0516 D1 + 0.0361
Ficus species,BEI= 328.6517 D2 + 41.5013 D + 5.8245
Ficus species,BE2 = 43.8976 D2 + 1.7589 D + 0.3012
Ficus species,BE1 = 0.1420 D12- 0.2210 D1 + 1.2739
Ficus species,BE4 = 0.0128 D12 - 0.0368 D1 + 0.1336
Terminalia species,BEI= 138.5098 D2 + 230.1472 D - 12.1090
Terminalia species,BE2 = 5.1039 D2 + 8.0168 D - 0.3351
Terminalia species,BE1 = 0.2029 D12- 0.4475 D1 + 0.2983
Terminalia species,BE4 = 0.0085 1312- 0.0165 D1 + 0.0270
Machilus species,BE1 = 84.3775 D2 + 94.3260 D + 4.1137
Machilus species,BE1 = -3.4948 D2 + 12.2233 D + 0.5985
Machilus species,BE1 = 0.0503 D12 + 1.3645 D1 - 1.3642
Machilus species,BE4 = 0.0122 D12 + 0.0941 D1 - 0.0972
10    Eurya japonica,BEI= 328.6517 D2 + 41.5013 D + 5.8245
Eurya japonica,BE2 = 47.6984 D2 + 0.8919 D + 0.1988
Eurya japonica,BE3 = 0.101 D12 + 0.222 Di + 0.604
Eurya japonica,BE4 = -0.004 D12 + 0.123 Di + 0.139
North-Eastern Ranges,region
Schima wallichii,BE1 = 1000.7174 D2 - 208.9540 D + 30.8140
Schima wallichii,BE2= 78.8815 D2- 13.3130 D + 1.6297
Schima wallichii,BE1 = 0.293 D12 - 1.098 D1 + 1.290
Schima wallichii,BE1 = 0.0060 D12 + 0.0551 D1 + 0.0619
Macaranga species,BE1 = 295.2237 D2 + 329.7146 D - 21.1529
Macaranga species,BE1 = -6.5259 D2 + 22.0047 D - 0.8689
Macaranga species,BE1 = 0.2135 D12 - 0.5857 D1 + 0.6587
Macaranga species,BE1 = 0.0167 D12- 0.0088 D1 + 0.1192
Shorea robusta,BE1 = 239.3148 D2- 3.3963 D + 21.0528
Shorea robusta,BE1 = 21.7716 D2 + 3.7241 D + 0.5622
Shorea robusta,BE1 = 0.4006 D12 - 1.5864 D1 + 2.3434
Shorea robusta,BE1 = 0.0130 D12 - 0.0264 D1 + 0.2234
Syzygium cumini,BE1 = 133.7182 D2 + 199.3136 D - 9.3632
Syzygium cumini,BE2 = 10.8365 D2 + 2.7031 D + 1.2267
Syzygium cumini,BE3 = 0.0847 D12 + 0.4512 D1 - 0.3127
Syzygium cumini,BE4 = 0.0089 D12- 0.0260 D1 + 0.0249
Syzygium jambolanum,BE1 = 133.7182 D2 + 199.3136 D - 9.3632
Syzygium jambolanum,BE2 = 10.8365 D2 + 2.7031 D + 1.2267
Syzygium jambolanum,BE3 = 0.0847 D12 + 0.4512 D1 - 0.3127
Syzygium jambolanum,BE4 = 0.0089 D12- 0.0260 D1 + 0.0249
(Old) Eugenia jambolana,BE1 = 133.7182 D2 + 199.3136 D - 9.3632
(Old) Eugenia jambolana,BE2 = 10.8365 D2 + 2.7031 D + 1.2267
(Old) Eugenia jambolana,BE3 = 0.0847 D12 + 0.4512 D1 - 0.3127
(Old) Eugenia jambolana,BE4 = 0.0089 D12- 0.0260 D1 + 0.0249
Careya arborea,BE1 = 340.5659 D2 + 91.1216 D + 3.3365
Careya arborea,BE1 = 18.1285 D2 + 4.8505 D + 0.1776
Careya arborea,BE1 = 0.1089 D12 + .5761 D1 + 0.2813
Careya arborea,BE1 = -0.0024 D12 + 0.1238 D1 - 0.0092
Tectona grandis,BE1 = -235.2067 D2 + 454.1317 D - 29.7996
Tectona grandis,BE1 = -9.3264 D2 + 18.3483 D - 0.8165
Tectona grandis,BE1 = 0.1775  D12 -0.0216 D1 + 0.6538
Tectona grandis,BE1 = 0.0099 D12  +  0.0007 D1 + 0.0188
Bauhinia species,BE1= -40.1501 D2 + 109.6091 D + 3.7405
Bauhinia species,BE1 = -2.8341 D2 + 7.7369 D + 0.2640
Bauhinia species,BE1 = 0.1139 D12 + 0.1204 D1 + 0.3863
Bauhinia species,BE1 = 0.0046 D12 + 0.0798 D1 - 0.0373
9    Ficus species,BE1 = 481.1172 D2 + 39.3014 D + 5.8236
Ficus species,BE2 = 42.6242 D2 + 1.7079 D + 0.2924
Ficus species,BE3 = 0.141 D12- 0.180 D1 + 0.410
Ficus species,BE4 = 0.010 D12 + 0.026 D1 + 0.011
Northern Plain,region
1    Shorea robusta,BE1 = 25.5451 D2 + 201.6606 D - 13.1829
Shorea robusta,BE1 = 9.1786 D2 + 11.0520 D - 0.8946
Shorea robusta,BE3 = -0.0766 D12 + 1.5811 D1 - 1.0110
Shorea robusta,BE4 = -0.0060 D12 + 0.1003 D1 + 0.0134
2    Mallotus philippensis,BE1 = 131.2114 D2 - 20.6129 D + 12.2762
Mallotus philippensis,BE2 = 6.9373 D2 - 1.0890 D + 0.5986
Mallotus philippensis,BE3 = 0.0746 D12 + 0.6614 D1 + 0.2329
Mallotus philippensis,BE4 = 0.0041 D12 + 0.0024 D1 + 0.0519
3    Tectona grandis,BE1 = -172.2384 D2 + 234.5179 D - 5.5074
Tectona grandis,BE1 = -17.8148 D2 + 24.5465 D - 0.6081
Tectona grandis,BE1 = 0.048 D12 + 0.812 D1 - 0.351
Tectona grandis,BE. = 0.0095 D12 - 0.0266 D1 + 0.1383
4    Acacia catechu,BE1 = -40.0134 D2 + 178.4533 D - 4.2859
Acacia catechu,BE2 = 10.8820 D + 0.0076
Acacia catechu,BE3 = 0.0642 D12 + 1.4964 Di - 0.7879
Acacia catechu,BE4 = 0.0114 D12 - 0.0090 D1 + 0.0917
5    Eucalyptus species,BE1 = 33.6773 D2 + 101.4271 D - 2.2653
Eucalyptus species,BE2 = 16.6353 D2 + 18.3505 D - 1.1172
Eucalyptus species,BE3 = 0.2870 D12 - 1.1264 D1 + 1.2830
Eucalyptus species,BE4 = 0.0122 D12 + 0.0347 D1 - 0.0213
Syzygium cumini,BE1= 148.1069 D2 + 306.2417 D - 20.7654
Syzygium cumini,BE2 = -4.0782 D2 + 8.9461 D + 0.0084
Syzygium cumini,BE3 = 0.0873 D12 - 0.0444 D1 + 0.4975
Syzygium cumini,BE4 = 0.0060 D12 + 0.0176 D1 - 0.0035
Syzygium jambolanum,BE1= 148.1069 D2 + 306.2417 D - 20.7654
Syzygium jambolanum,BE2 = -4.0782 D2 + 8.9461 D + 0.0084
Syzygium jambolanum,BE3 = 0.0873 D12 - 0.0444 D1 + 0.4975
Syzygium jambolanum,BE4 = 0.0060 D12 + 0.0176 D1 - 0.0035
(Old) Eugenia jambolana,BE1= 148.1069 D2 + 306.2417 D - 20.7654
(Old) Eugenia jambolana,BE2 = -4.0782 D2 + 8.9461 D + 0.0084
(Old) Eugenia jambolana,BE3 = 0.0873 D12 - 0.0444 D1 + 0.4975
(Old) Eugenia jambolana,BE4 = 0.0060 D12 + 0.0176 D1 - 0.0035
Dalbergia sissoo,BE1 = 7.2757 D2 + 53.1018 D + 12.3640
Dalbergia sissoo,BE2 = -4.6845 D2 + 14.7263 D - 0.0240
Dalbergia sissoo,BE3 = 0.1418 D12 + 0.7801 D1 - 0.3749
Dalbergia sissoo,BE4 = 0.0035 D12 + 0.1600 D1 - 0.0726
Trewia nudiflora,BE1 = 96.5047 D2 + 13.8015 D + 7.1858
Trewia nudiflora,BE1 = 11.9851 D2 + 0.4885 D + 0.4786
Trewia nudiflora,BE3 = -0.0023 D12 + 0.9608 D1 - 0.4878
Trewia nudiflora,BE4 = -0.0034 D12 + 0.0899 D1 - 0.0439
Holarrhena antidysenterica,BE1 = -184.5679 D2 + 168.5082 D - 10.0526
Holarrhena antidysenterica,BE2 = 2.5585 D2 + 3.9530 D - 0.0693
Holarrhena antidysenterica,BE3 = 0.066 D12 - 0.179 D1 + 0.458
Holarrhena antidysenterica,BE4 = 0.0007 D12 + 0.0065 D1 + 0.0083
Diospyros melanoxylon,BE1= -6.8624 D2 + 88.2043 D + 11.2256
Diospyros melanoxylon,BE2 = 4.6996 D2 + 13.7476 D + 1.0999
Diospyros melanoxylon,BE1 = 0.1977 D12 + 0.2373 D1 + 0.4882
Diospyros melanoxylon,BE4 = 0.0245 D12 - 0.0023 D1 + 0.0097
Bombax ceiba,BE1 = 142.4990 D2 + 15.7340 D + 11.7480
Bombax ceiba,BE1 = 4.1172 D2 + 0.8835 D + 0.2329
Bombax ceiba,BE3 = 0.1772 D12 - 0.2771 D1 + 0.7359
Bombax ceiba,BE4 = -0.0009 D12 + 0.0399 D1 + 0.0226
Bombax insigne,BE1 = 142.4990 D2 + 15.7340 D + 11.7480
Bombax insigne,BE1 = 4.1172 D2 + 0.8835 D + 0.2329
