Diospyros melanoxylon,BE2 = 29.9753 D2 - 6.1664 D + 0.9315
Diospyros melanoxylon,BE3 = 0.0764 D12- 0.2359 D1 + 0.4756
Diospyros melanoxylon,BE4 = 0.0068 D12 + 0.0021 D1 + 0.0124
Anogeissus latifolia,BE2= -185.9612 D2 + 363.4651 D - 23.7470
Anogeissus latifolia,BE2 = -8.7736 D2 + 18.6843 D - 1.2968
Anogeissus latifolia,BE2 = 0.0506 D12 + 0.6227 D1 - 0.3709
Anogeissus latifolia,BE4 = 0.0030 D12 + 0.0121 D1 + 0.0401
Terminalia crenulata,BE2= 412.9096 D2 + 218.7041 D - 21.1708
Terminalia crenulata,BE2 = 27.3545 D2 + 9.4647 D - 0.9363
Terminalia crenulata,BE3 = 0.1189 D12 - 0.1393 Di + 0.5844
Terminalia crenulata,BE4 = 0.0028 D12- 0.0009 D1 + 0.0261
Terminalia tomentosa,BE2= 412.9096 D2 + 218.7041 D - 21.1708
Terminalia tomentosa,BE2 = 27.3545 D2 + 9.4647 D - 0.9363
Terminalia tomentosa,BE3 = 0.1189 D12 - 0.1393 Di + 0.5844
Terminalia tomentosa,BE4 = 0.0028 D12- 0.0009 D1 + 0.0261
Mitragyna parviflora,BE2 = -70.9902 D2 + 315.1673 D - 25.4308
Mitragyna parviflora,BE2 = -4.7461 D2 + 20.5859 D - 1.6376
Mitragyna parviflora,BE3 = 0.0524 D12 + 0.1302 D1 - 0.0629
Mitragyna parviflora,BE4 = 0.0050 D12- 0.0093 D1 + 0.0334
Stephegyne parviflora,BE2 = -70.9902 D2 + 315.1673 D - 25.4308
Stephegyne parviflora,BE2 = -4.7461 D2 + 20.5859 D - 1.6376
Stephegyne parviflora,BE3 = 0.0524 D12 + 0.1302 D1 - 0.0629
Stephegyne parviflora,BE4 = 0.0050 D12- 0.0093 D1 + 0.0334
Wrightia tinctoria,BE2 = 243.9454 D2 + 177.3004 D - 16.2788
Wrightia tinctoria,BE2 = 0.5403 D2 + 5.9345 D - 0.3329
Wrightia tinctoria,BE3 = 0.0132 D12 + 0.7130 D1 - 0.4479
Wrightia tinctoria,BE4 = -0.0014 D12 + 0.0265 Di + 0.0104
Aegle marmelos,BE2 = -316.8777 D2 + 401.7510 D - 28.8949
Aegle marmelos,BE2 = -26.68 D2 + 33.47 D - 2.394
Aegle marmelos,BE2 = 0.1395 D12- 0.1710 D1 + 0.6693
Aegle marmelos,BE4 = 0.0090 D12 - 0.0048 D1 + 0.0680
Acacia lenticularis,BE2 = 290.6110 D2 + 78.7053 D - 6.0127
Acacia lenticularis,BE2 = 6.5580 D2 + 4.6176 D - 0.3076
Acacia lenticularis,BE3 = 0.0891 D12 + 0.2386 D1 + 0.1853
Acacia lenticularis,BE4 = -0.0012 D12 + 0.0353 Di - 0.0078
Acacia leucophlaea,BE2 = 290.6110 D2 + 78.7053 D - 6.0127
Acacia leucophlaea,BE2 = 6.5580 D2 + 4.6176 D - 0.3076
Acacia leucophlaea,BE3 = 0.0891 D12 + 0.2386 D1 + 0.1853
Acacia leucophlaea,BE4 = -0.0012 D12 + 0.0353 Di - 0.0078
14    Madhuca latifolia,BE2 = 215.7248 D + 189.7812 D - 8.4775
Madhuca latifolia,BE2 = 14.6794 D2 + 3.5935 D - 0.1774
Madhuca latifolia,BE2 = 0.0471 D12 + 0.3412 D1 + 0.1263
Madhuca latifolia,BE4 = 0.0028 D12 - 0.0074 D1 + 0.0863
(Old) Bassia latifolia,BE2 = 215.7248 D + 189.7812 D - 8.4775
(Old) Bassia latifolia,BE2 = 14.6794 D2 + 3.5935 D - 0.1774
(Old) Bassia latifolia,BE2 = 0.0471 D12 + 0.3412 D1 + 0.1263
(Old) Bassia latifolia,BE4 = 0.0028 D12 - 0.0074 D1 + 0.0863
Madhuca indica,BE2 = 215.7248 D + 189.7812 D - 8.4775
Madhuca indica,BE2 = 14.6794 D2 + 3.5935 D - 0.1774
Madhuca indica,BE2 = 0.0471 D12 + 0.3412 D1 + 0.1263
Madhuca indica,BE4 = 0.0028 D12 - 0.0074 D1 + 0.0863
6    Flacourtia indica(Old),BE2 = 564.5753 D2- 11.5172 D + 4.8052
Flacourtia indica(Old),BE2 = 28.1133 D2- 0.5735 D + 0.2393
Flacourtia indica(01d),BE2 = -0.0386 D12 + 1.3890 D1 - 0.2761
Flacourtia indica(Old),BE4 = -0.0029 D12 + 0.0835 D1 + 0.0256
Flacourtia ramontchi,BE2 = 564.5753 D2- 11.5172 D + 4.8052
Flacourtia ramontchi,BE2 = 28.1133 D2- 0.5735 D + 0.2393
Flacourtia ramontchi,BE2 = -0.0386 D12 + 1.3890 D1 - 0.2761
Flacourtia ramontchi,BE4 = -0.0029 D12 + 0.0835 D1 + 0.0256
North Deccan,region
1    Tectona grandis,BE2 = 724.8313 D ^(1.8139)
Tectona grandis,BE2 = -5.7898 D2 + 16.1859 D - 0.8153
Tectona grandis,BE2 = 0.1701 D12 - 0.5602 D1 +D1.3209
Tectona grandis,BE4 = 0.0080 D12 + 0.0186 D1 + 0.0245
2    Terminalia crenulata,BEI= -893.2875 D3 + 1888.8940 D2 - 463.5333 D + 54.7484
2    Terminalia crenulata,BE2 = 20.0615 D2 +1.5684 D + 0.4141
2    Terminalia crenulata,BE2 = 0.1545 D12 + 0.0612 D1 + 0.5004
2    Terminalia crenulata,BE4 = 0.0061 D12 - 0.0027 Di + 0.0550
Terminalia tomentosa,BEI= -893.2875 D3 + 1888.8940 D2 - 463.5333 D + 54.7484
Terminalia tomentosa,BE2 = 20.0615 D2 +1.5684 D + 0.4141
Terminalia tomentosa,BE2 = 0.1545 D12 + 0.0612 D1 + 0.5004
Terminalia tomentosa,BE4 = 0.0061 D12 - 0.0027 Di + 0.0550
Terminalia elliptica,BEI= -893.2875 D3 + 1888.8940 D2 - 463.5333 D + 54.7484
Terminalia elliptica,BE2 = 20.0615 D2 +1.5684 D + 0.4141
Terminalia elliptica,BE2 = 0.1545 D12 + 0.0612 D1 + 0.5004
Terminalia elliptica,BE4 = 0.0061 D12 - 0.0027 Di + 0.0550
3    Chloroxylon swietenia,BE2 = 884.6576 D2 + 395.8155 D - 38.2331
3    Chloroxylon swietenia,BE2 = 13.0100 D - 0.3999
3    Chloroxylon swietenia,BE2 = 0.1990 D12 - 0.3570 D1 + 0.5943
3    Chloroxylon swietenia,BE. = 0.0118 D12 - 0.0027 D1 + 0.0401
Anogeissus pendula,BEI= 1299.4268 D3 - 1653.6151 D2 + 1320.6808 D -110.1954
Anogeissus pendula,BE2 = -3.8043 D2 + 10.7862 D - 0.3515
Anogeissus pendula,BE3 = -0.0650 D12 + 2.1152 D1- 1.1784
Anogeissus pendula,BE4 = -0.0079 D12 + 0.1908 D1 - 0.0179
Butea monosperma(Old),BE2 = 287.6540 D2 + 67.0071 D - 1.9463
Butea monosperma(Old),BE2= 4.6446 D2 + 3.8577 D + 0.2056
Butea monosperma(Old),BE3 = 0.8883 D1 - 0.0294
Butea monosperma(Old),BE4 = 0.0040 D12 + 0.0373 Di + 0.1501
Butea frondosa,BE2 = 287.6540 D2 + 67.0071 D - 1.9463
Butea frondosa,BE2= 4.6446 D2 + 3.8577 D + 0.2056
Butea frondosa,BE3 = 0.8883 D1 - 0.0294
Butea frondosa,BE4 = 0.0040 D12 + 0.0373 Di + 0.1501
Lannea coromandelica,BE2 = 84.0382 D2 + 262.3237 D - 20.4447
Lannea coromandelica,BE2 = 1.611 D2 + 18.47 D - 0.894
Lannea coromandelica,BE2 = 0.011 D13 - 0.068 D12 + 0.351 D1 + 0.296
Lannea coromandelica,BE4 = 0.007 Di2 D12.006 D1 + 0.192
Lannea grandis,BE2 = 84.0382 D2 + 262.3237 D - 20.4447
Lannea grandis,BE2 = 1.611 D2 + 18.47 D - 0.894
Lannea grandis,BE2 = 0.011 D13 - 0.068 D12 + 0.351 D1 + 0.296
Lannea grandis,BE4 = 0.007 Di2 D12.006 D1 + 0.192
Odina wodier,BE2 = 84.0382 D2 + 262.3237 D - 20.4447
Odina wodier,BE2 = 1.611 D2 + 18.47 D - 0.894
Odina wodier,BE2 = 0.011 D13 - 0.068 D12 + 0.351 D1 + 0.296
Odina wodier,BE4 = 0.007 Di2 D12.006 D1 + 0.192
Diospyros species,BE2 = 479.3323 D2 + 25.4894 D + 8.4235
Diospyros species,BE2 = 6.7291 D2 + 6.0102 D + 0.2414
Diospyros species,BE2 = 0.0307 D12 + 0.7393 Di - 0.2260
Diospyros species,BE4 = 0.0033 D12 + 0.0669 Di - 0.0027
Lagerstroemia parviflora,BEI= 243.9685 D2 + 163.6429 D - 12.3582
Lagerstroemia parviflora,BE2 = -35.4845 D3 + 44.3745 D2- 1.2717 D + 0.2303
Lagerstroemia parviflora,BE3 = 0.0326 D12 + 0.4611 Di + 0.3191
Lagerstroemia parviflora,BE4 = 0.0074 D12 - 0.0222 Di + 0.0456
Buchanania latifolia,BE2= 225.0254 D2 + 81.1387 D - 3.3972
Buchanania latifolia,BE2 = 25.4746 D2 - 0.6373 D + 0.6366
Buchanania latifolia,BE3 = 0.0888 D12 + 0.0680 Di + 0.5616
Buchanania latifolia,BE2 = 0.0108 D12 - 0.0187 Di + 0.1278
 Buchanania lanzan,BE2= 225.0254 D2 + 81.1387 D - 3.3972
 Buchanania lanzan,BE2 = 25.4746 D2 - 0.6373 D + 0.6366
 Buchanania lanzan,BE3 = 0.0888 D12 + 0.0680 Di + 0.5616
 Buchanania lanzan,BE2 = 0.0108 D12 - 0.0187 Di + 0.1278
Madhuca latifolia,BE2 = 199.2222 D2 + 263.1915 D - 9.9139
Madhuca latifolia,BE2 = 6.1590 D - 0.3077
Madhuca latifolia,BE2 = 0.1405 D12 - 0.0649 D1 + 0.7852
Madhuca latifolia,BE4 = 0.0015 D12 + 0.0042 D1 + 0.0175
Madhuca longifolia,BE2 = 199.2222 D2 + 263.1915 D - 9.9139
Madhuca longifolia,BE2 = 6.1590 D - 0.3077
Madhuca longifolia,BE2 = 0.1405 D12 - 0.0649 D1 + 0.7852
Madhuca longifolia,BE4 = 0.0015 D12 + 0.0042 D1 + 0.0175
Madhuca indica,BE2 = 199.2222 D2 + 263.1915 D - 9.9139
Madhuca indica,BE2 = 6.1590 D - 0.3077
Madhuca indica,BE2 = 0.1405 D12 - 0.0649 D1 + 0.7852
Madhuca indica,BE4 = 0.0015 D12 + 0.0042 D1 + 0.0175
(Old) Bassia latifolia,BE2 = 199.2222 D2 + 263.1915 D - 9.9139
(Old) Bassia latifolia,BE2 = 6.1590 D - 0.3077
(Old) Bassia latifolia,BE2 = 0.1405 D12 - 0.0649 D1 + 0.7852
(Old) Bassia latifolia,BE4 = 0.0015 D12 + 0.0042 D1 + 0.0175
Acacia catechu,BEI= 412.9191 D2- 2.7602 D + 11.2512
Acacia catechu,BE2 = 7.0246 D2 - 1.8951 D + 0.5892
Acacia catechu,BE2 = 0.1995 D12 - 0.3849 D1 + 1.6476
Acacia catechu,BE4 = -0.0007 D12 + 0.0562 D1 + 0.0312
10    Gardenia resinifera,BE2 = 167.8008 D2 + 212.0485 D - 10.6145
Gardenia turgida,BE2 = 167.8008 D2 + 212.0485 D - 10.6145
Gardenia lucida,BE2 = 167.8008 D2 + 212.0485 D - 10.6145
Gardenia latifolia,BE2 = 167.8008 D2 + 212.0485 D - 10.6145
Gardenia gum,BE2 = 167.8008 D2 + 212.0485 D - 10.6145
10    Gardenia resinifera,BE2 = 3.9604 D2 + 2.5419 D + 0.4212
Gardenia turgida,BE2 = 3.9604 D2 + 2.5419 D + 0.4212
Gardenia lucida,BE2 = 3.9604 D2 + 2.5419 D + 0.4212
Gardenia latifolia,BE2 = 3.9604 D2 + 2.5419 D + 0.4212
Gardenia gum,BE2 = 3.9604 D2 + 2.5419 D + 0.4212
10    Gardenia resinifera,BE2 = 0.1779 D12 - 0.5745 D1 + 1.6701
Gardenia turgida,BE2 = 0.1779 D12 - 0.5745 D1 + 1.6701
Gardenia lucida,BE2 = 0.1779 D12 - 0.5745 D1 + 1.6701
Gardenia latifolia,BE2 = 0.1779 D12 - 0.5745 D1 + 1.6701
Gardenia gum,BE2 = 0.1779 D12 - 0.5745 D1 + 1.6701
10    Gardenia resinifera,BE4 = 0.0119 D12 - 0.0425 D1 + 0.1287
Gardenia turgida,BE4 = 0.0119 D12 - 0.0425 D1 + 0.1287
Gardenia lucida,BE4 = 0.0119 D12 - 0.0425 D1 + 0.1287
Gardenia latifolia,BE4 = 0.0119 D12 - 0.0425 D1 + 0.1287
Gardenia gum,BE4 = 0.0119 D12 - 0.0425 D1 + 0.1287
Wrightia tinctoria,BE2 = 703.4801 D2 - 128.9582 D + 13.6679
Wrightia tinctoria,BE2 = -4.0215 D2 + 4.6618 D - 0.2465
Wrightia tinctoria,BE2 = 0.0232 D12 + 0.5686 D1 - 0.2292
Wrightia tinctoria,BE4 = 0.0006 D12 + 0.0111 D1 + 0.0151
Cleistanthus collinus,BE2 = 267.9289 D2 + 203.8644 D - 13.2061
Cleistanthus collinus,BE2 = 4.1925 D2 + 0.6047 D + 0.1422
Cleistanthus collinus,BE2 = 0.0895 D12 + 0.3236 D1 + 0.5934
Cleistanthus collinus,BE4 = 0.0006 D12 + 0.0129 D1 - 0.0064
Syzygium cumini,BE2= 252.1925 D2 + 138.7321 D - 10.9596
Syzygium jambolanum,BE2= 252.1925 D2 + 138.7321 D - 10.9596
(Old) Eugenia jambolana,BE2= 252.1925 D2 + 138.7321 D - 10.9596
Syzygium cumini,BE2 = 10.9963 D2 - 1.6709 D + 0.6265
Syzygium jambolanum,BE2 = 10.9963 D2 - 1.6709 D + 0.6265
(Old) Eugenia jambolana,BE2 = 10.9963 D2 - 1.6709 D + 0.6265
Syzygium cumini,BE3 = 0.5933 D1 - 0.0378
Syzygium jambolanum,BE3 = 0.5933 D1 - 0.0378
(Old) Eugenia jambolana,BE3 = 0.5933 D1 - 0.0378
Syzygium cumini,BE4 = 0.0095 D12 - 0.0349 D1 + 0.0480
Syzygium jambolanum,BE4 = 0.0095 D12 - 0.0349 D1 + 0.0480
(Old) Eugenia jambolana,BE4 = 0.0095 D12 - 0.0349 D1 + 0.0480
16    Zizyphus xylopyrus,BEI= 625.9479 D2 - 132.8810 D + 16.6826
Zizyphus xylopyrus,BE2= 1.4667 D2 + 0.4772 D + 0.0650
Zizyphus xylopyrus,BE2 = 0.0564 D12 + 0.5274 D1 - 0.3069
Zizyphus xylopyrus,BE4 = -0.0005 D12 + 0.0207 Di + 0.0120
17    Aegle marmelos,BE2 = 604.8017 D2 + 0.0041 D + 1.7251
Aegle marmelos,BE2 = 43.2013 D2- 11.9883 D + 1.0009
Aegle marmelos,BE2 = 0.0940 D12 + 0.0813 D1 + 0.1856
Aegle marmelos,BE4 = 0.0081 D12 - 0.0021 Di + 0.0102
18    Bauhinia retusa,BE2 = 57.2611 D2 + 205.3085 D - 15.5737
Bauhinia variegata,BE2 = 57.2611 D2 + 205.3085 D - 15.5737
Phanera variegata,BE2 = 57.2611 D2 + 205.3085 D - 15.5737
18    Bauhinia retusa,BE2 = 1.6214 logeD + 3.9181
Bauhinia variegata,BE2 = 1.6214 logeD + 3.9181
Phanera variegata,BE2 = 1.6214 logeD + 3.9181
18    Bauhinia retusa,BE3 = 0.0508 D12 + 0.3060 Di + 0.2747
Bauhinia variegata,BE3 = 0.0508 D12 + 0.3060 Di + 0.2747
Phanera variegata,BE3 = 0.0508 D12 + 0.3060 Di + 0.2747
18    Bauhinia retusa,BE4 = 0.0083 D12 - 0.0012 D1 + 0.0113
Bauhinia variegata,BE4 = 0.0083 D12 - 0.0012 D1 + 0.0113
Phanera variegata,BE4 = 0.0083 D12 - 0.0012 D1 + 0.0113
East Deccan,region
1    Shorea robusta,BE2= 96.1525 D2 + 141.9383 D - 7.6058
Shorea robusta,BE2 = 17.2383 D2 + 4.2380 D - 0.1970
Shorea robusta,BE3 = -0.0561 D12 + 1.3533 D1 - 0.6625
Shorea robusta,BE4 = 0.0001 D13- 0.0085 D12+ 0.1150 D1 - 0.0198
Terminalia crenulata,BE2 = 487.5527 D2 + 151.9905 D - 10.5122
Terminalia crenulata,BE2 = 20.6898 D2 + 0.6700 D + 0.7183
Terminalia crenulata,BE3 = 0.2261 D12- 0.2118 D1 + 0.4479
Terminalia crenulata,BE4 = 0.0231 D12- 0.0128 D1 + 0.0067
Terminalia tomentosa,BE2 = 487.5527 D2 + 151.9905 D - 10.5122
Terminalia tomentosa,BE2 = 20.6898 D2 + 0.6700 D + 0.7183
Terminalia tomentosa,BE3 = 0.2261 D12- 0.2118 D1 + 0.4479
Terminalia tomentosa,BE4 = 0.0231 D12- 0.0128 D1 + 0.0067
Buchanania latifolia,BE2 = 371.3904 D2 - 24.8493 D + 11.8891
Buchanania latifolia,BE2 = 11.5126 D2 + 11.7616 D - 0.4661
Buchanania latifolia,BE3 = 0.1774 D12 + 0.0497 D1 + 0.2405
Buchanania latifolia,BE4 = 0.0167 D12- 0.0533 D1 + 0.1272
Buchanania lanzan,BE4 = 0.0167 D12- 0.0533 D1 + 0.1272
Buchanania lanzan,BE2 = 371.3904 D2 - 24.8493 D + 11.8891
Buchanania lanzan,BE2 = 11.5126 D2 + 11.7616 D - 0.4661
Buchanania lanzan,BE3 = 0.1774 D12 + 0.0497 D1 + 0.2405
Lagerstroemia parviflora,BE2 = 282.0677 D2 + 122.5817 D - 1.6765
Lagerstroemia parviflora,BE2 = 4.4738 D2 + 10.3883 D - 0.2022
Lagerstroemia parviflora,BE3 = 0.3060 D12 - 0.8760 Di + 1.8367
Lagerstroemia parviflora,BE4 = 0.0057 D12 + 0.0473 D1 + 0.0448
Diospyros melanoxylon,BEI= 454.7209 D2 + 91.0511 D - 0.7796
Diospyros melanoxylon,BE2 = 6.0086 D2 + 14.4343 D - 0.6523
Diospyros melanoxylon,BE2 = 0.2289 D12 - 0.5895 D1 + 1.2901
Diospyros melanoxylon,BE4 = 0.0054 D12 - 0.0027 D1 + 0.0586
12    Lannea coromandelica,BEI= -480.8026 D3 + 776.5053 D2 - 12.8368 D +3.2642
12    Lannea coromandelica,BE2 = 24.8730 D3 - 34.3265 D2 + 32.9611 D - 2.2382
12    Lannea coromandelica,BE3 = 0.1437 D12 - 0.0925 D1 + 0.2315
12    Lannea coromandelica,BE4 = 0.0041 D12 + 0.0476 D1 + 0.0538
Lannea grandis,BEI= -480.8026 D3 + 776.5053 D2 - 12.8368 D +3.2642
Lannea grandis,BE2 = 24.8730 D3 - 34.3265 D2 + 32.9611 D - 2.2382
Lannea grandis,BE3 = 0.1437 D12 - 0.0925 D1 + 0.2315
Lannea grandis,BE4 = 0.0041 D12 + 0.0476 D1 + 0.0538
Odina wodier,BEI= -480.8026 D3 + 776.5053 D2 - 12.8368 D +3.2642
Odina wodier,BE2 = 24.8730 D3 - 34.3265 D2 + 32.9611 D - 2.2382
Odina wodier,BE3 = 0.1437 D12 - 0.0925 D1 + 0.2315
Odina wodier,BE4 = 0.0041 D12 + 0.0476 D1 + 0.0538
Anogeissus latifolia,BE2 = 617.5004 D2 + 213.1245 D - 10.7193
Anogeissus latifolia,BE2 = 2.6012 D2 + 4.6100 D + 0.4850
Anogeissus latifolia,BE2 = 0.0093 D12 + 2.0713 D1- 1.3562
Anogeissus latifolia,BE4 = 0.0055 D12 + 0.0538 D1 - 0.0308
Madhuca latifolia,BE2= 363.8918 D2 + 21.7241 D + 12.4076
Madhuca latifolia,BE2 = -0.5623 D2 + 5.9581 D - 0.3769
Madhuca latifolia,BE3 = 0.1643 D12- 0.1839 Di + 0.8660
Madhuca latifolia,BE4 = 0.0015 D12 + 0.0042 Di + 0.0175
Madhuca longifolia,BE2= 363.8918 D2 + 21.7241 D + 12.4076
Madhuca longifolia,BE2 = -0.5623 D2 + 5.9581 D - 0.3769
Madhuca longifolia,BE3 = 0.1643 D12- 0.1839 Di + 0.8660
Madhuca longifolia,BE4 = 0.0015 D12 + 0.0042 Di + 0.0175
Madhuca indica,BE2= 363.8918 D2 + 21.7241 D + 12.4076
Madhuca indica,BE2 = -0.5623 D2 + 5.9581 D - 0.3769
Madhuca indica,BE3 = 0.1643 D12- 0.1839 Di + 0.8660
Madhuca indica,BE4 = 0.0015 D12 + 0.0042 Di + 0.0175
Bassia latifolia,BE2= 363.8918 D2 + 21.7241 D + 12.4076
Bassia latifolia,BE2 = -0.5623 D2 + 5.9581 D - 0.3769
Bassia latifolia,BE3 = 0.1643 D12- 0.1839 Di + 0.8660
Bassia latifolia,BE4 = 0.0015 D12 + 0.0042 Di + 0.0175
Chloroxylon swietenia,BE2 = 975.0536 D2 + 304.3150 D - 28.7845
Chloroxylon swietenia,BE2 = 1.1759 D2 + 12.2568 D - 0.5698
Chloroxylon swietenia,BE2 = 0.2140 D12 - 0.3769 D1 + 0.6000
Chloroxylon swietenia,BE4 = 0.0104 D12 - 0.0135 D1 + 0.0148
Tectona grandis,BE2 = 400.7901 D2 + 154.6186 D - 10.3648
Tectona grandis,BE2 = 0.8874 D2 + 7.7946 D + 0.2524
Tectona grandis,BE3 = 0.0236 D13 - 0.0907 D12 + 0.1486 Di + 0.7882
Tectona grandis,BE4 = 0.0121 D12 - 0.0132 D1 + 0.0450
Butea frondosa,BE1 = 370.0886 D2 - 109.6483 D + 17.2888
Butea frondosa,BE2 = 60.7797 D2 - 17.5339 D + 2.3183
Butea frondosa,BE3 = 0.0863 D12 - 0.0040 D1 + 0.5788
Butea frondosa,BE4 = 0.0033 D12 + 0.0519 D1 + 0.1722
11    Butea monosperma(Old),BE1 = 370.0886 D2 - 109.6483 D + 17.2888
Butea monosperma(Old),BE2 = 60.7797 D2 - 17.5339 D + 2.3183
Butea monosperma(Old),BE3 = 0.0863 D12 - 0.0040 D1 + 0.5788
Butea monosperma(01d),BE4 = 0.0033 D12 + 0.0519 D1 + 0.1722
South Deccan,region
1    Tectona grandis,BE1 = 539.6789 D2- 91.0556 D + 27.1753
Tectona grandis,BE2 = 25.3092 D2 + 0.7069 D + 0.5550
Tectona grandis,BE3 = 0.2044 D12 + 1.0601 D1 - 1.2801
Tectona grandis,BE1 = 0.0080 D12 + 0.0186 D1 + 0.0267
2    Anogeissus latifolia,BE1 = 527.5528 D2 + 190.9378 D - 6.3153
Anogeissus latifolia,BE1 = 1.8701 D2 + 2.0075 D - 0.0042
Anogeissus latifolia,BE1 = 0.1675 D12 + 0.5589 Di + 0.7879
Anogeissus latifolia,BE1 = 0.0025 D12 + 0.0046 D1 + 0.0086
3   Terminalia crenulata,BE1 = 810.6925 D2 - 139.3736 D + 36.0631
3   Terminalia crenulata,BE2 = 5.5404 D2 + 2.6344 D + 0.0470
3   Terminalia crenulata,BE3 = 0.2952 D12 - 0.5102 Di + 1.4387
3   Terminalia crenulata,BE1 = 0.0021 D12 - 0.0009 Di + 0.0157
Terminalia tomentosa,BE1 = 810.6925 D2 - 139.3736 D + 36.0631
Terminalia tomentosa,BE2 = 5.5404 D2 + 2.6344 D + 0.0470
Terminalia tomentosa,BE3 = 0.2952 D12 - 0.5102 Di + 1.4387
Terminalia tomentosa,BE1 = 0.0021 D12 - 0.0009 Di + 0.0157
4    Albizia amara,BE1 = -31.5487 D2 + 88.5829 D + 1.3364
Albizia amara,BE2 = -0.6411 D2 + 2.7919 D + 0.0396
Albizia amara,BE3 = 0.0363 D12 + 1.4877 Di - 0.7142
Albizia amara,BE1 = 0.0012 D12 + 0.0209 D1 + 0.0161
5    Chloroxylon swietenia,BE1 = 488.0505 D2 + 33.6399 D + 15.4392
Chloroxylon swietenia,BE1 = 14.1500 D2 - 0.9931 D + 0.4151
Chloroxylon swietenia,BE1 = 0.3823 D12- 1.2603 D1 + 1.8184
Chloroxylon swietenia,BE1 = 0.0043 D12- 0.0183 D1 + 0.0393
Dalbergia paniculata,BE2 = -102.7024 D2 + 293.0061 D - 11.0535
Dalbergia paniculata,BE2 = -9.9474 D2 + 15.0404 D - 0.1593
Dalbergia paniculata,BE3 = 0.2463 D12 - 0.3225 Di + 0.5993
Dalbergia paniculata,BE4 = 0.0072 D12 + 0.0776 D1 - 0.0471
Eucalyptus species,BE2 = 1992.5579 D2 - 569.1502 D + 58.6038
Eucalyptus species,BE2 = 108.9443 D2 - 30.6000 D + 3.4514
Eucalyptus species,BE2 = 0.1846 D12 + 0.6850 D1 - 0.6812
Eucalyptus species,BE4 = 0.0169 D12 + 0.0038 D1 + 0.0106
Butea monosperma(Old),BE2 = -112.9531 D2 + 137.3176 D - 6.7571
Butea monosperma(Old),BE2 = -21.0604 D2 + 28.5709 D - 1.8295
Butea monosperma(Old),BE2 = 0.0459 D12 + 0.4265 D1 - 0.4595
Butea monosperma(Oid),BE4 = 0.0011 D12 + 0.0548 D1 - 0.0031
Butea frondosa,BE2 = -112.9531 D2 + 137.3176 D - 6.7571
Butea frondosa,BE2 = 0.0459 D12 + 0.4265 D1 - 0.4595
Butea frondosa,BE2 = -21.0604 D2 + 28.5709 D - 1.8295
Butea frondosa,BE4 = 0.0011 D12 + 0.0548 D1 - 0.0031
Lagerstroemia lanceolata,BE2 = 100.9008 D2 + 84.8999 D + 4.2891
Lagerstroemia lanceolata,BE2 = 8.7374 D2 + 6.2665 D - 0.4480
Lagerstroemia lanceolata,BE2 = 0.1927 D12 + 0.4646 D1 + 0.1709
Lagerstroemia lanceolata,BE4 = 0.0026 D12 + 0.0024 D1 + 0.0440
Lagerstroemia microcarpa,BE2 = 100.9008 D2 + 84.8999 D + 4.2891
Lagerstroemia microcarpa,BE2 = 8.7374 D2 + 6.2665 D - 0.4480
Lagerstroemia microcarpa,BE2 = 0.1927 D12 + 0.4646 D1 + 0.1709
Lagerstroemia microcarpa,BE4 = 0.0026 D12 + 0.0024 D1 + 0.0440
Hardwickia binata,BE2 = 111.0238 D2 + 88.3600 D + 5.3628
Hardwickia binata,BE2 = -2.4828 D2 + 13.0998 D - 0.2666
Hardwickia binata,BE2 = 0.2426 D12 + 0.1704 D1 - 0.2384
Hardwickia binata,BE4 = 0.0128 D12 + 0.0298 D1 - 0.0483
Wrightia tinctoria,BE2 = 844.1903 D2- 209.0971 D + 22.2997
Wrightia tinctoria,BE2 = 32.1939 D2 - 5.8653 D + 0.8683
Wrightia tinctoria,BE3 = 0.1241 D12 + 0.3036 Di - 0.2649
Wrightia tinctoria,BE4 = 0.0054 D12 + 0.0148 D1 - 0.0268
Syzygium cumini,BE2 = 855.3180 D2 - 242.6737 D + 46.4286
Syzygium cumini,BE2 = 53.5761 D2 - 11.0837 D + 2.0611
Syzygium cumini,BE3 = 0.1650 D12 + 1.5328 D1 - 1.9294
Syzygium cumini,BE2 = 0.0108 D12 + 0.0597 D1 - 0.0420
Syzygium jambolanum,BE2 = 855.3180 D2 - 242.6737 D + 46.4286
Syzygium jambolanum,BE2 = 53.5761 D2 - 11.0837 D + 2.0611
Syzygium jambolanum,BE3 = 0.1650 D12 + 1.5328 D1 - 1.9294
Syzygium jambolanum,BE2 = 0.0108 D12 + 0.0597 D1 - 0.0420
(Old) Eugenia jambolana,BE2 = 855.3180 D2 - 242.6737 D + 46.4286
(Old) Eugenia jambolana,BE2 = 53.5761 D2 - 11.0837 D + 2.0611
(Old) Eugenia jambolana,BE3 = 0.1650 D12 + 1.5328 D1 - 1.9294
(Old) Eugenia jambolana,BE2 = 0.0108 D12 + 0.0597 D1 - 0.0420
Western Ghats,region
1    Tectona grandis,BE2 = 426.4085 D2 - 65.3303 D + 30.9354
Tectona grandis,BE2 = 4.0598 D2 + 1.0953 D + 0.3664
Tectona grandis,BE3 = 0.3533 D12 + 0.1121 D1 - 0.3794
Tectona grandis,BE4 = 0.0015 D12 + 0.0013 D1 + 0.0066
2    Anogeissus latifolia,BE = 1983.9425 D3 - 1588.1130 D2 + 533.6380 D -23.3952
