8    Ehretia laevis,V/D2 = 0.16609/D2- 2.78851/D + 17.22127 - 11.60248 D
    Eucalyptus species   ,V = 0.02894 - 0.89284 D + 8.72416D2
    Holarrhena antidysenterica,V = 0.17994 - 2.78776 D + 14.44961 D2
    Lagerstroemia parviflora,V = 0.10529 - 1.68829 D + 10.29573 D2
    Mallotus philippensis,V = 0.14749 - 2.87503 D + 19.61977 D2- 19.11630 D3
    Shorea robusta,sqrtV = 0.16306 + 4.8991 D - 1.57402 sqrtD
    Syzygium cumini,V = 0.08481 - 1.81774 D + 12.63047 D2- 6.69555 D3
    Syzygium jambolanum,V = 0.08481 - 1.81774 D + 12.63047 D2- 6.69555 D3
     Eugenia jambolana,V = 0.08481 - 1.81774 D + 12.63047 D2- 6.69555 D3
    Tectona grandis,V = 0.08847 - 1.46936 D + 11.98979 D2+ 1.970560 D3
    Terminalia crenulata,V/D2 = 0.18149/D2 - 2.85865/D + 18.60799
    Terminalia tomentosa,V/D2 = 0.18149/D2 - 2.85865/D + 18.60799
Terminalia elliptica,V/D2 = 0.18149/D2 - 2.85865/D + 18.60799
    Trewia nudiflora,sqrtV = -0.45312 - 0.41426 D + 2.10913 sqrtD
    Zizyphus mauritiana,V = 0.027354 + 4.663714 D2
    Zizyphus jujuba,V = 0.027354 + 4.663714 D2
Eastern Plain,region
Amoora species,sqrtV = 0.00905 + 3.7648 D - 0.64993 sqrtD
Aglaia hiernii,sqrtV = 0.00905 + 3.7648 D - 0.64993 sqrtD
Amoora wallichii,sqrtV = 0.00905 + 3.7648 D - 0.64993 sqrtD
    Careya arborea,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
    Castanopsis species,V = 0.05331 - 0.87098 D + 6.52533 D2+ 1.74231 D3
    Dillenia pentagyna,sqrtV = 0.31202 + 4.75915 D - 1.83940 sqrtD
    Lagerstroemia parviflora,V = 0.11740 - 1.58941 D + 9.76464 D2
    Lagerstroemia speciosa,V = 0.11740 - 1.58941 D + 9.76464 D2
Lagerstroemia flosreginae,V = 0.11740 - 1.58941 D + 9.76464 D2
    Schima wallichii,V = 0.27609 - 3.68443 D + 15.86687 D2
    Shorea robusta,V/D2 = 0.00389/D2 - 0.27516/D + 6.90733
    Tectona grandis,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
